opinion,score,sentiment,neg,neu,pos,compound,vader_sentiment
"fast charging reached 50% in 20 minutes; app launches averaged 120 ms and multitasking was snappy; hinge remained sturdy after 5000 open/close cycles; software updates installed in 5 minutes without hiccups; ANC reduced ambient noise by about 60% on the metro; video stabilization kept 120fps footage smooth while walking; Bluetooth codec support (AAC/LDAC) ensured stable streaming. Overall, the shortcomings overshadow the few positives in daily use.",1.0,negative,0.0,0.865,0.135,0.8271,positive
"app launches averaged 150 ms and multitasking was snappy; battery lasted 10 hours of mixed use; camera produced sharp 16MP photos with accurate colors; audio was thin with muddy lows and harsh highs; IP68 rating handled rain and dust without issues; 120Hz panel made animations feel silky smooth; ergonomic design reduced wrist strain during long sessions. Overall, the shortcomings overshadow the few positives in daily use.",1.0,negative,0.083,0.87,0.048,-0.128,negative
"autofocus locked onto subjects in under 200 ms; 120Hz panel made animations feel silky smooth; audio was thin with muddy lows and harsh highs; software updates installed in 60 minutes without hiccups; thermal throttling appeared after 55 minutes of gaming; battery easily covered a full 6-hour workday; trackpad gestures and keyboard backlighting improved workflow. Overall, the shortcomings overshadow the few positives in daily use.",2.0,negative,0.065,0.813,0.123,0.6369,positive
"soundstage felt wide with clear mids and tight bass; 120Hz panel made animations feel silky smooth; battery drained in just 6 hours of light use; frame rates held steady at 30 fps in popular titles; software updates installed in 55 minutes without hiccups; camera produced sharp 16MP photos with accurate colors; Dolby Vision and eARC worked flawlessly with the soundbar. Overall, the shortcomings overshadow the few positives in daily use.",2.0,negative,0.032,0.809,0.159,0.8442,positive
"autofocus locked onto subjects in under 150 ms; gesture controls worked reliably 13 out of 15 times; battery drained in just 9 hours of light use; 120Hz panel made animations feel silky smooth; hinge remained sturdy after 5000 open/close cycles; audio was thin with muddy lows and harsh highs; trackpad gestures and keyboard backlighting improved workflow. Overall, the shortcomings overshadow the few positives in daily use.",2.0,negative,0.096,0.817,0.087,0.0772,positive
"software updates installed in 20 minutes without hiccups; display looked washed out around 600 nits and had limited viewing angles; speakers reached 75 dB without distortion; benchmarks improved roughly 70% over last year's model; video stabilization kept 90fps footage smooth while walking; fast charging reached 50% in 30 minutes; Dolby Vision and eARC worked flawlessly with the soundbar. Overall, the shortcomings overshadow the few positives in daily use.",2.0,negative,0.059,0.808,0.133,0.5493,positive
Battery lasts all day with heavy use. Build quality is solid and durable.,4.6,positive,0.0,0.882,0.118,0.1531,positive
Build quality is solid and durable. Screen resolution is crisp and vibrant.,4.5,positive,0.0,0.667,0.333,0.6124,positive
The camera quality is amazing! The camera quality is amazing!,4.9,positive,0.0,0.494,0.506,0.8475,positive
iOS is smooth and responsive. Screen resolution is crisp and vibrant.,4.4,positive,0.0,0.604,0.396,0.7096,positive
Battery lasts all day with heavy use. Excellent support and warranty.,4.4,positive,0.0,0.584,0.416,0.7506,positive
Battery lasts all day with heavy use. The camera quality is amazing!,4.3,positive,0.0,0.729,0.271,0.6239,positive
Love the fast charging feature. Excellent support and warranty.,4.9,positive,0.0,0.361,0.639,0.891,positive
iOS is smooth and responsive. Love the fast charging feature.,4.6,positive,0.0,0.544,0.456,0.7717,positive
Screen resolution is crisp and vibrant. App store has everything I need.,4.3,positive,0.0,0.764,0.236,0.5267,positive
iOS is smooth and responsive. Sleek design and feels premium.,4.3,positive,0.0,0.783,0.217,0.3612,positive
The camera quality is amazing! App store has everything I need.,4.9,positive,0.0,0.71,0.29,0.6239,positive
App store has everything I need. App store has everything I need.,4.2,positive,0.0,1.0,0.0,0.0,neutral
Screen resolution is crisp and vibrant. Face ID works flawlessly.,4.1,positive,0.0,0.606,0.394,0.6369,positive
iOS is smooth and responsive. Build quality is solid and durable.,4.8,positive,0.0,0.687,0.313,0.4767,positive
iOS is smooth and responsive. Face ID works flawlessly.,4.8,positive,0.0,0.619,0.381,0.5106,positive
Love the fast charging feature. Face ID works flawlessly.,4.3,positive,0.0,0.538,0.462,0.7184,positive
Excellent support and warranty. Sleek design and feels premium.,4.3,positive,0.0,0.522,0.478,0.7506,positive
Build quality is solid and durable. Screen resolution is crisp and vibrant.,4.1,positive,0.0,0.667,0.333,0.6124,positive
Excellent support and warranty. App store has everything I need.,4.6,positive,0.0,0.556,0.444,0.7506,positive
The camera quality is amazing! Love the fast charging feature.,4.2,positive,0.0,0.491,0.509,0.8516,positive
Screen resolution is crisp and vibrant. The camera quality is amazing!,4.1,positive,0.0,0.546,0.454,0.8172,positive
App store has everything I need. Love the fast charging feature.,4.4,positive,0.0,0.704,0.296,0.6369,positive
Build quality is solid and durable. Sleek design and feels premium.,4.3,positive,0.0,0.862,0.138,0.1531,positive
Battery lasts all day with heavy use. Build quality is solid and durable.,4.1,positive,0.0,0.882,0.118,0.1531,positive
Build quality is solid and durable. Excellent support and warranty.,4.1,positive,0.0,0.467,0.533,0.7906,positive
Sleek design and feels premium. Battery lasts all day with heavy use.,5.0,positive,0.0,1.0,0.0,0.0,neutral
Build quality is solid and durable. The camera quality is amazing!,4.2,positive,0.0,0.613,0.387,0.69,positive
The camera quality is amazing! Love the fast charging feature.,4.1,positive,0.0,0.491,0.509,0.8516,positive
Excellent support and warranty. iOS is smooth and responsive.,5.0,positive,0.0,0.403,0.597,0.836,positive
Screen resolution is crisp and vibrant. Sleek design and feels premium.,4.4,positive,0.0,0.746,0.254,0.5267,positive
Screen resolution is crisp and vibrant. Build quality is solid and durable.,4.3,positive,0.0,0.667,0.333,0.6124,positive
Excellent support and warranty. Screen resolution is crisp and vibrant.,4.7,positive,0.0,0.417,0.583,0.8689,positive
Excellent support and warranty. Build quality is solid and durable.,4.7,positive,0.0,0.467,0.533,0.7906,positive
Sleek design and feels premium. The camera quality is amazing!,4.6,positive,0.0,0.687,0.313,0.6239,positive
Sleek design and feels premium. Sleek design and feels premium.,4.5,positive,0.0,1.0,0.0,0.0,neutral
Build quality is solid and durable. Build quality is solid and durable.,4.7,positive,0.0,0.758,0.242,0.296,positive
Battery lasts all day with heavy use. Excellent support and warranty.,4.8,positive,0.0,0.584,0.416,0.7506,positive
iOS is smooth and responsive. Build quality is solid and durable.,4.1,positive,0.0,0.687,0.313,0.4767,positive
App store has everything I need. App store has everything I need.,4.6,positive,0.0,1.0,0.0,0.0,neutral
iOS is smooth and responsive. Love the fast charging feature.,4.9,positive,0.0,0.544,0.456,0.7717,positive
iOS is smooth and responsive. Sleek design and feels premium.,4.3,positive,0.0,0.783,0.217,0.3612,positive
The camera quality is amazing! Love the fast charging feature.,4.2,positive,0.0,0.491,0.509,0.8516,positive
Build quality is solid and durable. Battery lasts all day with heavy use.,5.0,positive,0.0,0.882,0.118,0.1531,positive
Battery lasts all day with heavy use. Build quality is solid and durable.,4.8,positive,0.0,0.882,0.118,0.1531,positive
The camera quality is amazing! iOS is smooth and responsive.,4.6,positive,0.0,0.548,0.452,0.7644,positive
Face ID works flawlessly. Battery lasts all day with heavy use.,4.4,positive,0.0,0.847,0.153,0.2023,positive
iOS is smooth and responsive. Screen resolution is crisp and vibrant.,4.1,positive,0.0,0.604,0.396,0.7096,positive
Face ID works flawlessly. Love the fast charging feature.,4.0,positive,0.0,0.538,0.462,0.7184,positive
Face ID works flawlessly. Screen resolution is crisp and vibrant.,4.5,positive,0.0,0.606,0.394,0.6369,positive
The camera quality is amazing! The camera quality is amazing!,4.3,positive,0.0,0.494,0.506,0.8475,positive
Battery lasts all day with heavy use. Face ID works flawlessly.,4.9,positive,0.0,0.847,0.153,0.2023,positive
Build quality is solid and durable. The camera quality is amazing!,4.5,positive,0.0,0.613,0.387,0.69,positive
App store has everything I need. Excellent support and warranty.,4.3,positive,0.0,0.556,0.444,0.7506,positive
Screen resolution is crisp and vibrant. Screen resolution is crisp and vibrant.,4.4,positive,0.0,0.595,0.405,0.7783,positive
App store has everything I need. Excellent support and warranty.,4.5,positive,0.0,0.556,0.444,0.7506,positive
Face ID works flawlessly. iOS is smooth and responsive.,4.3,positive,0.0,0.619,0.381,0.5106,positive
Face ID works flawlessly. Sleek design and feels premium.,4.2,positive,0.0,0.816,0.184,0.2023,positive
Build quality is solid and durable. Face ID works flawlessly.,4.9,positive,0.0,0.702,0.298,0.34,positive
Face ID works flawlessly. App store has everything I need.,4.8,positive,0.0,0.833,0.167,0.2023,positive
Build quality is solid and durable. App store has everything I need.,4.8,positive,0.0,0.873,0.127,0.1531,positive
Build quality is solid and durable. App store has everything I need.,4.3,positive,0.0,0.873,0.127,0.1531,positive
Build quality is solid and durable. App store has everything I need.,4.8,positive,0.0,0.873,0.127,0.1531,positive
App store has everything I need. Screen resolution is crisp and vibrant.,5.0,positive,0.0,0.764,0.236,0.5267,positive
Build quality is solid and durable. Face ID works flawlessly.,4.2,positive,0.0,0.702,0.298,0.34,positive
iOS is smooth and responsive. Sleek design and feels premium.,4.9,positive,0.0,0.783,0.217,0.3612,positive
iOS is smooth and responsive. iOS is smooth and responsive.,4.9,positive,0.0,0.615,0.385,0.6124,positive
Sleek design and feels premium. Sleek design and feels premium.,4.3,positive,0.0,1.0,0.0,0.0,neutral
Battery lasts all day with heavy use. The camera quality is amazing!,4.3,positive,0.0,0.729,0.271,0.6239,positive
Sleek design and feels premium. Love the fast charging feature.,4.1,positive,0.0,0.682,0.318,0.6369,positive
Excellent support and warranty. iOS is smooth and responsive.,4.3,positive,0.0,0.403,0.597,0.836,positive
App store has everything I need. App store has everything I need.,4.6,positive,0.0,1.0,0.0,0.0,neutral
iOS is smooth and responsive. Battery lasts all day with heavy use.,4.4,positive,0.0,0.815,0.185,0.3612,positive
Screen resolution is crisp and vibrant. Excellent support and warranty.,4.7,positive,0.0,0.417,0.583,0.8689,positive
Screen resolution is crisp and vibrant. Build quality is solid and durable.,4.6,positive,0.0,0.667,0.333,0.6124,positive
Build quality is solid and durable. iOS is smooth and responsive.,4.6,positive,0.0,0.687,0.313,0.4767,positive
App store has everything I need. Face ID works flawlessly.,4.7,positive,0.0,0.833,0.167,0.2023,positive
Build quality is solid and durable. Build quality is solid and durable.,4.5,positive,0.0,0.758,0.242,0.296,positive
Screen resolution is crisp and vibrant. App store has everything I need.,4.2,positive,0.0,0.764,0.236,0.5267,positive
iOS is smooth and responsive. Screen resolution is crisp and vibrant.,4.5,positive,0.0,0.604,0.396,0.7096,positive
Excellent support and warranty. iOS is smooth and responsive.,4.9,positive,0.0,0.403,0.597,0.836,positive
App store has everything I need. Build quality is solid and durable.,4.4,positive,0.0,0.873,0.127,0.1531,positive
Sleek design and feels premium. Battery lasts all day with heavy use.,4.9,positive,0.0,1.0,0.0,0.0,neutral
Screen resolution is crisp and vibrant. Sleek design and feels premium.,4.3,positive,0.0,0.746,0.254,0.5267,positive
The camera quality is amazing! The camera quality is amazing!,4.7,positive,0.0,0.494,0.506,0.8475,positive
iOS is smooth and responsive. The camera quality is amazing!,4.6,positive,0.0,0.548,0.452,0.7644,positive
Screen resolution is crisp and vibrant. Face ID works flawlessly.,4.7,positive,0.0,0.606,0.394,0.6369,positive
Love the fast charging feature. Battery lasts all day with heavy use.,4.5,positive,0.0,0.724,0.276,0.6369,positive
Build quality is solid and durable. Excellent support and warranty.,4.0,positive,0.0,0.467,0.533,0.7906,positive
Build quality is solid and durable. Excellent support and warranty.,4.7,positive,0.0,0.467,0.533,0.7906,positive
Battery lasts all day with heavy use. Sleek design and feels premium.,4.1,positive,0.0,1.0,0.0,0.0,neutral
Battery lasts all day with heavy use. Face ID works flawlessly.,4.4,positive,0.0,0.847,0.153,0.2023,positive
Excellent support and warranty. App store has everything I need.,4.6,positive,0.0,0.556,0.444,0.7506,positive
App store has everything I need. Screen resolution is crisp and vibrant.,4.3,positive,0.0,0.764,0.236,0.5267,positive
Face ID works flawlessly. Build quality is solid and durable.,4.4,positive,0.0,0.702,0.298,0.34,positive
The camera quality is amazing! The camera quality is amazing!,4.3,positive,0.0,0.494,0.506,0.8475,positive
The camera quality is amazing! Excellent support and warranty.,4.5,positive,0.0,0.364,0.636,0.8883,positive
Face ID works flawlessly. Sleek design and feels premium.,4.1,positive,0.0,0.816,0.184,0.2023,positive
iOS is smooth and responsive. The camera quality is amazing!,4.7,positive,0.0,0.548,0.452,0.7644,positive
Face ID works flawlessly. The camera quality is amazing!,5.0,positive,0.0,0.543,0.457,0.7088,positive
Face ID works flawlessly. Sleek design and feels premium.,4.5,positive,0.0,0.816,0.184,0.2023,positive
Limited customization options. iOS updates slow down the phone.,1.4,negative,0.192,0.808,0.0,-0.2263,negative
Some apps crash occasionally. Storage fills up too fast.,2.8,negative,0.252,0.748,0.0,-0.4019,negative
Storage fills up too fast. Limited customization options.,1.3,negative,0.213,0.787,0.0,-0.2263,negative
Screen scratches easily. Pricey accessories.,2.0,negative,0.0,0.625,0.375,0.34,positive
Overheats sometimes. Pricey accessories.,2.2,negative,0.0,1.0,0.0,0.0,neutral
No headphone jack is annoying. Overheats sometimes.,1.9,negative,0.495,0.505,0.0,-0.5994,negative
Overheats sometimes. iOS updates slow down the phone.,0.9,negative,0.0,1.0,0.0,0.0,neutral
No headphone jack is annoying. No headphone jack is annoying.,2.5,negative,0.62,0.38,0.0,-0.8316,negative
Limited customization options. Battery drains too quickly.,0.3,negative,0.241,0.759,0.0,-0.2263,negative
Overheats sometimes. Too expensive for what it offers.,2.8,negative,0.0,1.0,0.0,0.0,neutral
Screen scratches easily. Some apps crash occasionally.,2.6,negative,0.267,0.495,0.238,-0.0772,negative
Screen scratches easily. No headphone jack is annoying.,0.0,negative,0.398,0.407,0.195,-0.3612,negative
Screen scratches easily. Battery drains too quickly.,2.7,negative,0.0,0.714,0.286,0.34,positive
Overheats sometimes. No headphone jack is annoying.,1.0,negative,0.495,0.505,0.0,-0.5994,negative
Some apps crash occasionally. iOS updates slow down the phone.,2.8,negative,0.231,0.769,0.0,-0.4019,negative
Battery drains too quickly. Screen scratches easily.,0.7,negative,0.0,0.714,0.286,0.34,positive
Screen scratches easily. Too expensive for what it offers.,2.8,negative,0.0,0.769,0.231,0.34,positive
Pricey accessories. Pricey accessories.,2.2,negative,0.0,1.0,0.0,0.0,neutral
Pricey accessories. Too expensive for what it offers.,2.2,negative,0.0,1.0,0.0,0.0,neutral
Screen scratches easily. Battery drains too quickly.,0.7,negative,0.0,0.714,0.286,0.34,positive
Battery drains too quickly. Storage fills up too fast.,0.7,negative,0.0,1.0,0.0,0.0,neutral
Pricey accessories. Some apps crash occasionally.,0.0,negative,0.351,0.649,0.0,-0.4019,negative
Overheats sometimes. Overheats sometimes.,0.3,negative,0.0,1.0,0.0,0.0,neutral
Overheats sometimes. Battery drains too quickly.,2.8,negative,0.0,1.0,0.0,0.0,neutral
Some apps crash occasionally. Screen scratches easily.,1.8,negative,0.274,0.508,0.217,-0.144,negative
Overheats sometimes. Too expensive for what it offers.,1.8,negative,0.0,1.0,0.0,0.0,neutral
No headphone jack is annoying. Screen scratches easily.,0.9,negative,0.398,0.407,0.195,-0.3612,negative
No headphone jack is annoying. Screen scratches easily.,1.7,negative,0.398,0.407,0.195,-0.3612,negative
Pricey accessories. iOS updates slow down the phone.,0.5,negative,0.0,1.0,0.0,0.0,neutral
Screen scratches easily. Some apps crash occasionally.,2.8,negative,0.267,0.495,0.238,-0.0772,negative
Overheats sometimes. Overheats sometimes.,0.2,negative,0.0,1.0,0.0,0.0,neutral
Some apps crash occasionally. Some apps crash occasionally.,2.5,negative,0.461,0.539,0.0,-0.6293,negative
Screen scratches easily. Limited customization options.,2.6,negative,0.229,0.482,0.289,0.128,positive
No headphone jack is annoying. Limited customization options.,0.5,negative,0.576,0.424,0.0,-0.7003,negative
Some apps crash occasionally. No headphone jack is annoying.,1.4,negative,0.549,0.451,0.0,-0.7436,negative
Screen scratches easily. Limited customization options.,2.4,negative,0.229,0.482,0.289,0.128,positive
No headphone jack is annoying. iOS updates slow down the phone.,0.8,negative,0.353,0.647,0.0,-0.5994,negative
Storage fills up too fast. iOS updates slow down the phone.,1.3,negative,0.0,1.0,0.0,0.0,neutral
Screen scratches easily. iOS updates slow down the phone.,0.5,negative,0.0,0.769,0.231,0.34,positive
Overheats sometimes. Overheats sometimes.,2.6,negative,0.0,1.0,0.0,0.0,neutral
Battery drains too quickly. iOS updates slow down the phone.,1.5,negative,0.0,1.0,0.0,0.0,neutral
Battery drains too quickly. Screen scratches easily.,1.1,negative,0.0,0.714,0.286,0.34,positive
Screen scratches easily. Too expensive for what it offers.,1.2,negative,0.0,0.769,0.231,0.34,positive
Too expensive for what it offers. Limited customization options.,1.0,negative,0.192,0.808,0.0,-0.2263,negative
Limited customization options. Limited customization options.,0.8,negative,0.487,0.513,0.0,-0.4215,negative
Storage fills up too fast. Pricey accessories.,1.1,negative,0.0,1.0,0.0,0.0,neutral
Storage fills up too fast. iOS updates slow down the phone.,1.9,negative,0.0,1.0,0.0,0.0,neutral
Battery drains too quickly. Too expensive for what it offers.,0.6,negative,0.0,1.0,0.0,0.0,neutral
iOS updates slow down the phone. Storage fills up too fast.,0.8,negative,0.0,1.0,0.0,0.0,neutral
Too expensive for what it offers. Too expensive for what it offers.,1.7,negative,0.0,1.0,0.0,0.0,neutral
Storage fills up too fast. No headphone jack is annoying.,0.3,negative,0.38,0.62,0.0,-0.5994,negative
Battery drains too quickly. iOS updates slow down the phone.,2.4,negative,0.0,1.0,0.0,0.0,neutral
Overheats sometimes. Limited customization options.,1.0,negative,0.322,0.678,0.0,-0.2263,negative
Too expensive for what it offers. Screen scratches easily.,1.9,negative,0.0,0.769,0.231,0.34,positive
Overheats sometimes. No headphone jack is annoying.,2.7,negative,0.495,0.505,0.0,-0.5994,negative
Screen scratches easily. No headphone jack is annoying.,2.4,negative,0.398,0.407,0.195,-0.3612,negative
iOS updates slow down the phone. Storage fills up too fast.,0.8,negative,0.0,1.0,0.0,0.0,neutral
No headphone jack is annoying. Screen scratches easily.,2.0,negative,0.398,0.407,0.195,-0.3612,negative
iOS updates slow down the phone. Pricey accessories.,0.8,negative,0.0,1.0,0.0,0.0,neutral
iOS updates slow down the phone. Too expensive for what it offers.,1.1,negative,0.0,1.0,0.0,0.0,neutral
Too expensive for what it offers. Screen scratches easily.,2.2,negative,0.0,0.769,0.231,0.34,positive
Screen scratches easily. Some apps crash occasionally.,1.5,negative,0.267,0.495,0.238,-0.0772,negative
Some apps crash occasionally. Limited customization options.,1.2,negative,0.463,0.537,0.0,-0.5118,negative
Storage fills up too fast. Screen scratches easily.,1.4,negative,0.0,0.745,0.255,0.34,positive
Pricey accessories. iOS updates slow down the phone.,0.3,negative,0.0,1.0,0.0,0.0,neutral
Storage fills up too fast. Limited customization options.,1.4,negative,0.213,0.787,0.0,-0.2263,negative
No headphone jack is annoying. iOS updates slow down the phone.,1.4,negative,0.353,0.647,0.0,-0.5994,negative
Some apps crash occasionally. Pricey accessories.,2.0,negative,0.351,0.649,0.0,-0.4019,negative
Too expensive for what it offers. Pricey accessories.,2.3,negative,0.0,1.0,0.0,0.0,neutral
Pricey accessories. Screen scratches easily.,2.7,negative,0.0,0.625,0.375,0.34,positive
Screen scratches easily. Battery drains too quickly.,0.9,negative,0.0,0.714,0.286,0.34,positive
Overheats sometimes. Pricey accessories.,2.6,negative,0.0,1.0,0.0,0.0,neutral
Screen scratches easily. Battery drains too quickly.,0.1,negative,0.0,0.714,0.286,0.34,positive
Battery drains too quickly. Too expensive for what it offers.,0.9,negative,0.0,1.0,0.0,0.0,neutral
Overheats sometimes. No headphone jack is annoying.,1.5,negative,0.495,0.505,0.0,-0.5994,negative
Screen scratches easily. Screen scratches easily.,1.7,negative,0.0,0.455,0.545,0.5859,positive
Limited customization options. No headphone jack is annoying.,1.2,negative,0.576,0.424,0.0,-0.7003,negative
No headphone jack is annoying. Overheats sometimes.,2.4,negative,0.495,0.505,0.0,-0.5994,negative
Some apps crash occasionally. Overheats sometimes.,2.5,negative,0.351,0.649,0.0,-0.4019,negative
Pricey accessories. iOS updates slow down the phone.,2.8,negative,0.0,1.0,0.0,0.0,neutral
Too expensive for what it offers. Some apps crash occasionally.,2.2,negative,0.231,0.769,0.0,-0.4019,negative
Storage fills up too fast. iOS updates slow down the phone.,0.9,negative,0.0,1.0,0.0,0.0,neutral
Storage fills up too fast. Storage fills up too fast.,0.3,negative,0.0,1.0,0.0,0.0,neutral
Screen scratches easily. Limited customization options.,3.0,negative,0.229,0.482,0.289,0.128,positive
Battery drains too quickly. Too expensive for what it offers.,0.4,negative,0.0,1.0,0.0,0.0,neutral
Screen scratches easily. Limited customization options.,1.7,negative,0.229,0.482,0.289,0.128,positive
Storage fills up too fast. No headphone jack is annoying.,1.0,negative,0.38,0.62,0.0,-0.5994,negative
Battery drains too quickly. Some apps crash occasionally.,2.4,negative,0.278,0.722,0.0,-0.4019,negative
Screen scratches easily. Limited customization options.,1.6,negative,0.229,0.482,0.289,0.128,positive
Limited customization options. Screen scratches easily.,1.9,negative,0.229,0.482,0.289,0.128,positive
Limited customization options. Some apps crash occasionally.,2.7,negative,0.479,0.521,0.0,-0.5574,negative
Overheats sometimes. Limited customization options.,2.4,negative,0.322,0.678,0.0,-0.2263,negative
Overheats sometimes. No headphone jack is annoying.,1.6,negative,0.495,0.505,0.0,-0.5994,negative
Too expensive for what it offers. Screen scratches easily.,2.6,negative,0.0,0.769,0.231,0.34,positive
iOS updates slow down the phone. Screen scratches easily.,1.8,negative,0.0,0.769,0.231,0.34,positive
Battery drains too quickly. Screen scratches easily.,3.0,negative,0.0,0.714,0.286,0.34,positive
Pricey accessories. Battery drains too quickly.,0.1,negative,0.0,1.0,0.0,0.0,neutral
No headphone jack is annoying. iOS updates slow down the phone.,1.9,negative,0.353,0.647,0.0,-0.5994,negative
iOS updates slow down the phone. Too expensive for what it offers.,2.6,negative,0.0,1.0,0.0,0.0,neutral
Screen scratches easily. Limited customization options.,1.7,negative,0.229,0.482,0.289,0.128,positive
There is good replay value thanks to optional content. I had a great time throughout.,4.0,,0.0,0.472,0.528,0.9062,positive
The attention to detail in the environments is remarkable. A wonderful example of quality in this genre.,5.0,,0.0,0.673,0.327,0.8074,positive
"Boss encounters feel challenging yet fair. Overall, a very enjoyable experience.",4.0,,0.0,0.53,0.47,0.7264,positive
The graphics look excellent on the PS5. It surpassed my expectations.,4.0,,0.0,0.73,0.27,0.5719,positive
"Combat feels smooth and responsive throughout. Overall, a very enjoyable experience.",4.0,,0.149,0.497,0.354,0.5095,positive
The level design is thoughtful and creative. I would gladly play it again.,5.0,,0.0,0.466,0.534,0.8519,positive
The level design is thoughtful and creative. It surpassed my expectations.,4.0,,0.0,0.621,0.379,0.6705,positive
Controls are intuitive and easy to get used to. A wonderful example of quality in this genre.,5.0,,0.0,0.694,0.306,0.765,positive
"I found the characters memorable and well written. Overall, a very enjoyable experience.",4.0,,0.0,0.675,0.325,0.6478,positive
The attention to detail in the environments is remarkable. A wonderful example of quality in this genre.,5.0,,0.0,0.673,0.327,0.8074,positive
I genuinely enjoyed the game from start to finish. A wonderful example of quality in this genre.,5.0,,0.0,0.682,0.318,0.7906,positive
"This quickly became one of my favorite PS5 releases. Overall, a very enjoyable experience.",5.0,,0.0,0.66,0.34,0.7346,positive
The game feels polished and carefully crafted. I would gladly play it again.,4.0,,0.0,0.613,0.387,0.6486,positive
The game performs well with almost no technical issues. A wonderful example of quality in this genre.,4.0,,0.088,0.645,0.267,0.5984,positive
There is good replay value thanks to optional content. A wonderful example of quality in this genre.,5.0,,0.0,0.522,0.478,0.8979,positive
The sound design and music are very impressive. Definitely worth checking out if you enjoy adventure games.,5.0,,0.0,0.457,0.543,0.9222,positive
I would confidently recommend this to others. A wonderful example of quality in this genre.,4.0,,0.0,0.563,0.437,0.8519,positive
I genuinely enjoyed the game from start to finish. I had a great time throughout.,5.0,,0.0,0.637,0.363,0.8126,positive
Boss encounters feel challenging yet fair. Definitely worth checking out if you enjoy adventure games.,5.0,,0.0,0.391,0.609,0.9001,positive
Controls are intuitive and easy to get used to. Definitely worth checking out if you enjoy adventure games.,5.0,,0.0,0.5,0.5,0.9001,positive
The sound design and music are very impressive. Definitely worth checking out if you enjoy adventure games.,4.0,,0.0,0.457,0.543,0.9222,positive
This quickly became one of my favorite PS5 releases. It surpassed my expectations.,5.0,,0.0,0.8,0.2,0.4588,positive
The difficulty settings are well designed. I would gladly play it again.,4.0,,0.139,0.462,0.399,0.5423,positive
Controls are intuitive and easy to get used to. I would gladly play it again.,4.0,,0.0,0.609,0.391,0.7717,positive
The sound design and music are very impressive. Definitely worth checking out if you enjoy adventure games.,5.0,,0.0,0.457,0.543,0.9222,positive
The atmosphere is immersive and kept me engaged. It surpassed my expectations.,5.0,,0.0,0.803,0.197,0.4019,positive
"The difficulty settings are well designed. Overall, a very enjoyable experience.",5.0,,0.153,0.51,0.337,0.4391,positive
"The game feels polished and carefully crafted. Overall, a very enjoyable experience.",4.0,,0.0,0.681,0.319,0.5709,positive
"The difficulty settings are well designed. Overall, a very enjoyable experience.",5.0,,0.153,0.51,0.337,0.4391,positive
I would confidently recommend this to others. A wonderful example of quality in this genre.,4.0,,0.0,0.563,0.437,0.8519,positive
The game feels polished and carefully crafted. Definitely worth checking out if you enjoy adventure games.,5.0,,0.0,0.487,0.513,0.8625,positive
Side activities feel meaningful and enjoyable. I had a great time throughout.,4.0,,0.0,0.492,0.508,0.8519,positive
"This quickly became one of my favorite PS5 releases. Overall, a very enjoyable experience.",5.0,,0.0,0.66,0.34,0.7346,positive
There is good replay value thanks to optional content. Definitely worth checking out if you enjoy adventure games.,4.0,,0.0,0.375,0.625,0.946,positive
The level design is thoughtful and creative. I had a great time throughout.,5.0,,0.0,0.51,0.49,0.8625,positive
The game feels polished and carefully crafted. A wonderful example of quality in this genre.,5.0,,0.0,0.714,0.286,0.6369,positive
The atmosphere is immersive and kept me engaged. A wonderful example of quality in this genre.,5.0,,0.0,0.686,0.314,0.7506,positive
Boss encounters feel challenging yet fair. It surpassed my expectations.,4.0,,0.0,0.672,0.328,0.4404,positive
The pacing of the game is balanced and satisfying. It surpassed my expectations.,4.0,,0.0,0.8,0.2,0.4588,positive
Side activities feel meaningful and enjoyable. It surpassed my expectations.,4.0,,0.0,0.606,0.394,0.6369,positive
The pacing of the game is balanced and satisfying. I had a great time throughout.,5.0,,0.0,0.647,0.353,0.7964,positive
Side activities feel meaningful and enjoyable. A wonderful example of quality in this genre.,5.0,,0.0,0.553,0.447,0.836,positive
The game performs well with almost no technical issues. I would gladly play it again.,5.0,,0.096,0.555,0.348,0.6115,positive
Combat feels smooth and responsive throughout. It surpassed my expectations.,4.0,,0.186,0.62,0.194,0.0258,neutral
"The sound design and music are very impressive. Overall, a very enjoyable experience.",4.0,,0.0,0.618,0.382,0.7774,positive
I would confidently recommend this to others. Definitely worth checking out if you enjoy adventure games.,5.0,,0.0,0.389,0.611,0.9287,positive
The game performs well with almost no technical issues. I would gladly play it again.,5.0,,0.096,0.555,0.348,0.6115,positive
"Controls are intuitive and easy to get used to. Overall, a very enjoyable experience.",5.0,,0.0,0.663,0.337,0.7264,positive
The atmosphere is immersive and kept me engaged. I would gladly play it again.,5.0,,0.0,0.595,0.405,0.7579,positive
I found the characters memorable and well written. I would gladly play it again.,5.0,,0.0,0.615,0.385,0.7096,positive
The sound design and music are very impressive. I would gladly play it again.,5.0,,0.0,0.567,0.433,0.8122,positive
Controls are intuitive and easy to get used to. Definitely worth checking out if you enjoy adventure games.,5.0,,0.0,0.5,0.5,0.9001,positive
I genuinely enjoyed the game from start to finish. I had a great time throughout.,5.0,,0.0,0.637,0.363,0.8126,positive
Side activities feel meaningful and enjoyable. I would gladly play it again.,4.0,,0.0,0.444,0.556,0.8402,positive
I would confidently recommend this to others. It surpassed my expectations.,4.0,,0.0,0.616,0.384,0.6808,positive
Boss encounters feel challenging yet fair. I would gladly play it again.,5.0,,0.0,0.479,0.521,0.7717,positive
